DLL injected!
CCSGameRulesProxy->m_nGuardianModeSpecialWeaponNeeded: 88c
CCSGameRulesProxy->m_nHalloweenMaskListSeed: 9a0
CCSGameRulesProxy->m_numGlobalGiftsGiven: 898
CCSGameRulesProxy->m_numGlobalGifters: 89c
CCSGameRulesProxy->m_numGlobalGiftsPeriodSeconds: 8a0
CCSGameRulesProxy->m_arrFeaturedGiftersAccounts: 8a4
CCSGameRulesProxy->m_arrFeaturedGiftersGifts: 8b4
CCSGameRulesProxy->m_arrProhibitedItemIndices: 8c4
CCSGameRulesProxy->m_numBestOfMaps: 99c
CCSGameRulesProxy->m_arrTournamentActiveCasterAccounts: 98c
CCSGameRulesProxy->m_iNumConsecutiveCTLoses: c7c
CCSGameRulesProxy->m_iNumConsecutiveTerroristLoses: c80
CCSGameRulesProxy->m_vecPlayAreaMins: d00
CCSGameRulesProxy->m_vecPlayAreaMaxs: d0c
CCSGameRulesProxy->m_iPlayerSpawnHexIndices: d18
CCSGameRulesProxy->m_SpawnTileState: e18
CCSGameRulesProxy->m_flSpawnSelectionTimeStart: ef8
CCSGameRulesProxy->m_flSpawnSelectionTimeEnd: efc
CCSGameRulesProxy->m_flSpawnSelectionTimeLoadout: f00
CCSGameRulesProxy->m_spawnStage: f04
CCSGameRulesProxy->m_flTabletHexOriginX: f08
CCSGameRulesProxy->m_flTabletHexOriginY: f0c
CCSGameRulesProxy->m_flTabletHexSize: f10
CCSGameRulesProxy->m_roundData_playerXuids: f18
CCSGameRulesProxy->m_roundData_playerPositions: 1120
CCSGameRulesProxy->m_roundData_playerTeams: 1224
CCSGameRulesProxy->m_SurvivalGameRuleDecisionTypes: 1328
CCSGameRulesProxy->m_SurvivalGameRuleDecisionValues: 1368
CCSGameRulesProxy->m_flSurvivalStartTime: 13a8
CCSGameRulesProxy->m_SurvivalRules: d00
CCSGameRulesProxy->m_nMatchSeed: 14b8
CCSGameRulesProxy->m_bBlockersPresent: 14bc
CCSGameRulesProxy->m_bRoundInProgress: 14bd
CCSGameRulesProxy->m_iFirstSecondHalfRound: 14c0
CCSGameRulesProxy->m_iBombSite: 14c4
CCSGameRulesProxy->m_RetakeRules: 13c0
CCSGameRulesProxy->cs_gamerules_data: 0
CTEPlantBomb->m_vecOrigin: 14
CTEPlantBomb->m_iPlayer: 10
CTEPlantBomb->m_option: 20
CTEFireBullets->m_vecOrigin: 18
CTEFireBullets->m_vecAngles[0]: 24
CTEFireBullets->m_vecAngles[1]: 28
CTEFireBullets->m_iWeaponID: 34
CTEFireBullets->m_weapon: 30
CTEFireBullets->m_iMode: 38
CTEFireBullets->m_iSeed: 3c
CTEFireBullets->m_iPlayer: 10
CTEFireBullets->m_fInaccuracy: 40
CTEFireBullets->m_fSpread: 48
CTEFireBullets->m_nItemDefIndex: 14
CTEFireBullets->m_iSoundType: 4c
CTEFireBullets->m_flRecoilIndex: 44
CTERadioIcon->m_iAttachToClient: 10
CPlantedC4->m_bBombTicking: 2990
CPlantedC4->m_nBombSite: 2994
CPlantedC4->m_flC4Blow: 29a0
CPlantedC4->m_flTimerLength: 29a4
CPlantedC4->m_flDefuseLength: 29b8
CPlantedC4->m_flDefuseCountDown: 29bc
CPlantedC4->m_bBombDefused: 29c0
CPlantedC4->m_hBombDefuser: 29c4
CCSPlayerResource->m_iPlayerC4: 165c
CCSPlayerResource->m_iPlayerVIP: 1660
CCSPlayerResource->m_bHostageAlive: 167c
CCSPlayerResource->m_isHostageFollowingSomeone: 1688
CCSPlayerResource->m_iHostageEntityIDs: 1694
CCSPlayerResource->m_bombsiteCenterA: 1664
CCSPlayerResource->m_bombsiteCenterB: 1670
CCSPlayerResource->m_hostageRescueX: 16c4
CCSPlayerResource->m_hostageRescueY: 16d4
CCSPlayerResource->m_hostageRescueZ: 16e4
CCSPlayerResource->m_iMVPs: 16f4
CCSPlayerResource->m_iArmor: 187c
CCSPlayerResource->m_bHasHelmet: 1839
CCSPlayerResource->m_bHasDefuser: 17f8
CCSPlayerResource->m_iScore: 1980
CCSPlayerResource->m_iCompetitiveRanking: 1a84
CCSPlayerResource->m_iCompetitiveWins: 1b88
CCSPlayerResource->m_iCompetitiveRankType: 1c8c
CCSPlayerResource->m_iCompTeammateColor: 1cd0
CCSPlayerResource->m_iLifetimeStart: 1dd4
CCSPlayerResource->m_iLifetimeEnd: 1ed8
CCSPlayerResource->m_bControllingBot: 1fdc
CCSPlayerResource->m_iControlledPlayer: 2020
CCSPlayerResource->m_iControlledByPlayer: 2124
CCSPlayerResource->m_iBotDifficulty: 42a8
CCSPlayerResource->m_szClan: 43ac
CCSPlayerResource->m_nCharacterDefIndex: 47bc
CCSPlayerResource->m_iTotalCashSpent: 48c0
CCSPlayerResource->m_iGunGameLevel: 49c4
CCSPlayerResource->m_iCashSpentThisRound: 4ac8
CCSPlayerResource->m_nEndMatchNextMapVotes: 6a88
CCSPlayerResource->m_bEndMatchNextMapAllVoted: 6b8c
CCSPlayerResource->m_nActiveCoinRank: 4bcc
CCSPlayerResource->m_nMusicID: 4cd0
CCSPlayerResource->m_nPersonaDataPublicLevel: 4dd4
CCSPlayerResource->m_nPersonaDataPublicCommendsLeader: 4ed8
CCSPlayerResource->m_nPersonaDataPublicCommendsTeacher: 4fdc
CCSPlayerResource->m_nPersonaDataPublicCommendsFriendly: 50e0
CCSPlayerResource->m_bHasCommunicationAbuseMute: 51e4
CCSPlayerResource->m_szCrosshairCodes: 5225
CCSPlayerResource->m_iMatchStats_Kills_Total: 5b08
CCSPlayerResource->m_iMatchStats_5k_Total: 601c
CCSPlayerResource->m_iMatchStats_4k_Total: 5f18
CCSPlayerResource->m_iMatchStats_3k_Total: 5e14
CCSPlayerResource->m_iMatchStats_Damage_Total: 6120
CCSPlayerResource->m_iMatchStats_EquipmentValue_Total: 6224
CCSPlayerResource->m_iMatchStats_KillReward_Total: 6328
CCSPlayerResource->m_iMatchStats_LiveTime_Total: 642c
CCSPlayerResource->m_iMatchStats_Deaths_Total: 5d10
CCSPlayerResource->m_iMatchStats_Assists_Total: 5c0c
CCSPlayerResource->m_iMatchStats_HeadShotKills_Total: 6530
CCSPlayerResource->m_iMatchStats_Objective_Total: 6634
CCSPlayerResource->m_iMatchStats_CashEarned_Total: 6738
CCSPlayerResource->m_iMatchStats_UtilityDamage_Total: 683c
CCSPlayerResource->m_iMatchStats_EnemiesFlashed_Total: 6940
CCSPlayer->m_vecOrigin: 138
CCSPlayer->m_vecOrigin[2]: 140
CCSPlayer->m_flStamina: 103d8
CCSPlayer->m_iDirection: 103dc
CCSPlayer->m_iShotsFired: 103e0
CCSPlayer->m_nNumFastDucks: 103e4
CCSPlayer->m_bDuckOverride: 103e8
CCSPlayer->m_flVelocityModifier: 103ec
CCSPlayer->m_bPlayerDominated: 118e8
CCSPlayer->m_bPlayerDominatingMe: 11929
CCSPlayer->m_iWeaponPurchasesThisRound: 11298
CCSPlayer->m_unActiveQuestId: 11778
CCSPlayer->m_nQuestProgressReason: 1177c
CCSPlayer->m_iRetakesOffering: 11cf4
CCSPlayer->m_iRetakesOfferingCard: 11cf8
CCSPlayer->m_bRetakesHasDefuseKit: 11cfc
CCSPlayer->m_bRetakesMVPLastRound: 11cfd
CCSPlayer->m_iRetakesMVPBoostItem: 11d00
CCSPlayer->m_RetakesMVPBoostExtraUtility: 11d04
CCSPlayer->m_unPlayerTvControlFlags: 11780
CCSPlayer->cslocaldata: 0
CCSPlayer->m_vecOrigin: 138
CCSPlayer->m_vecOrigin[2]: 140
CCSPlayer->csnonlocaldata: 0
CCSPlayer->m_iWeaponPurchasesThisMatch: 10acc
CCSPlayer->m_EquippedLoadoutItemDefIndices: 116a4
CCSPlayer->csteamdata: 0
CCSPlayer->m_angEyeAngles[0]: 117d0
CCSPlayer->m_angEyeAngles[1]: 117d4
CCSPlayer->m_iAddonBits: 103c4
CCSPlayer->m_iPrimaryAddon: 103c8
CCSPlayer->m_iSecondaryAddon: 103cc
CCSPlayer->m_iThrowGrenadeCounter: 99b8
CCSPlayer->m_bWaitForNoAttack: 99bc
CCSPlayer->m_bIsRespawningForDMBonus: 99bd
CCSPlayer->m_iPlayerState: 9978
CCSPlayer->m_iAccount: 117b8
CCSPlayer->m_iStartAccount: 103f4
CCSPlayer->m_totalHitsOnServer: 103f8
CCSPlayer->m_bInBombZone: 99b4
CCSPlayer->m_bInBuyZone: 99b5
CCSPlayer->m_bInNoDefuseArea: 99b6
CCSPlayer->m_bKilledByTaser: 99cd
CCSPlayer->m_iMoveState: 99d0
CCSPlayer->m_iClass: 117c8
CCSPlayer->m_ArmorValue: 117cc
CCSPlayer->m_angEyeAngles: 117d0
CCSPlayer->m_bHasDefuser: 117dc
CCSPlayer->m_bNightVisionOn: 103e9
CCSPlayer->m_bHasNightVision: 103ea
CCSPlayer->m_bInHostageRescueZone: 117dd
CCSPlayer->m_bIsDefusing: 997c
CCSPlayer->m_bIsGrabbingHostage: 997d
CCSPlayer->m_iBlockingUseActionInProgress: 9980
CCSPlayer->m_bIsScoped: 9974
CCSPlayer->m_bIsWalking: 9975
CCSPlayer->m_nIsAutoMounting: 9ae4
CCSPlayer->m_bResumeZoom: 9976
CCSPlayer->m_fImmuneToGunGameDamageTime: 9988
CCSPlayer->m_bGunGameImmunity: 9990
CCSPlayer->m_bHasMovedSinceSpawn: 9991
CCSPlayer->m_bMadeFinalGunGameProgressiveKill: 9992
CCSPlayer->m_iGunGameProgressiveWeaponIndex: 9994
CCSPlayer->m_iNumGunGameTRKillPoints: 9998
CCSPlayer->m_iNumGunGameKillsWithCurrentWeapon: 999c
CCSPlayer->m_iNumRoundKills: 99a0
CCSPlayer->m_fMolotovUseTime: 99ac
CCSPlayer->m_fMolotovDamageTime: 99b0
CCSPlayer->m_szArmsModel: 99d7
CCSPlayer->m_hCarriedHostage: 10448
CCSPlayer->m_hCarriedHostageProp: 1044c
CCSPlayer->m_bIsRescuing: 9984
CCSPlayer->m_flGroundAccelLinearFracLastTime: 103f0
CCSPlayer->m_bCanMoveDuringFreezePeriod: 99d4
CCSPlayer->m_isCurrentGunGameLeader: 99d5
CCSPlayer->m_isCurrentGunGameTeamLeader: 99d6
CCSPlayer->m_flGuardianTooFarDistFrac: 99c0
CCSPlayer->m_flDetectedByEnemySensorTime: 99c4
CCSPlayer->m_bIsPlayerGhost: 9ae1
CCSPlayer->m_iMatchStats_Kills: 104b4
CCSPlayer->m_iMatchStats_Damage: 1052c
CCSPlayer->m_iMatchStats_EquipmentValue: 105a4
CCSPlayer->m_iMatchStats_MoneySaved: 1061c
CCSPlayer->m_iMatchStats_KillReward: 10694
CCSPlayer->m_iMatchStats_LiveTime: 1070c
CCSPlayer->m_iMatchStats_Deaths: 10784
CCSPlayer->m_iMatchStats_Assists: 107fc
CCSPlayer->m_iMatchStats_HeadShotKills: 10874
CCSPlayer->m_iMatchStats_Objective: 108ec
CCSPlayer->m_iMatchStats_CashEarned: 10964
CCSPlayer->m_iMatchStats_UtilityDamage: 109dc
CCSPlayer->m_iMatchStats_EnemiesFlashed: 10a54
CCSPlayer->m_rank: 1178c
CCSPlayer->m_passiveItems: 117a4
CCSPlayer->m_bHasParachute: 117a4
CCSPlayer->m_unMusicID: 117a8
CCSPlayer->m_bHasHelmet: 117c0
CCSPlayer->m_bHasHeavyArmor: 117c1
CCSPlayer->m_nHeavyAssaultSuitCooldownRemaining: 117c4
CCSPlayer->m_flFlashDuration: 10470
CCSPlayer->m_flFlashMaxAlpha: 1046c
CCSPlayer->m_iProgressBarDuration: 103d0
CCSPlayer->m_flProgressBarStartTime: 103d4
CCSPlayer->m_hRagdoll: 1043c
CCSPlayer->m_hPlayerPing: 10440
CCSPlayer->m_cycleLatch: 118e0
CCSPlayer->m_unCurrentEquipmentValue: 11784
CCSPlayer->m_unRoundStartEquipmentValue: 11786
CCSPlayer->m_unFreezetimeEndEquipmentValue: 11788
CCSPlayer->m_bIsControllingBot: 11a4d
CCSPlayer->m_bHasControlledBotThisRound: 11a5c
CCSPlayer->m_bCanControlObservedBot: 11a4e
CCSPlayer->m_iControlledBotEntIndex: 11a50
CCSPlayer->m_vecAutomoveTargetEnd: 9af4
CCSPlayer->m_flAutoMoveStartTime: 9b04
CCSPlayer->m_flAutoMoveTargetTime: 9b08
CCSPlayer->m_bIsAssassinationTarget: 11a4c
CCSPlayer->m_bHud_MiniScoreHidden: 117fe
CCSPlayer->m_bHud_RadarHidden: 117ff
CCSPlayer->m_nLastKillerIndex: 11800
CCSPlayer->m_nLastConcurrentKilled: 11804
CCSPlayer->m_nDeathCamMusic: 11808
CCSPlayer->m_bIsHoldingLookAtWeapon: 11975
CCSPlayer->m_bIsLookingAtWeapon: 11974
CCSPlayer->m_iNumRoundKillsHeadshots: 99a4
CCSPlayer->m_unTotalRoundDamageDealt: 99a8
CCSPlayer->m_flLowerBodyYawTarget: 9adc
CCSPlayer->m_bStrafing: 9ae0
CCSPlayer->m_flThirdpersonRecoil: 119ec
CCSPlayer->m_bHideTargetID: 119f0
CCSPlayer->m_bIsSpawnRappelling: 103fd
CCSPlayer->m_vecSpawnRappellingRopeOrigin: 10400
CCSPlayer->m_nSurvivalTeam: 10410
CCSPlayer->m_hSurvivalAssassinationTarget: 10414
CCSPlayer->m_flHealthShotBoostExpirationTime: 10418
CCSPlayer->m_flLastExoJumpTime: 9b0c
CCSPlayer->m_vecPlayerPatchEconIndices: 119c4
CPlayerPing->m_hPlayer: 9e4
CPlayerPing->m_hPingedEntity: 9e8
CPlayerPing->m_iType: 9ec
CPlayerPing->m_bUrgent: 9f4
CPlayerPing->m_szPlaceName: 9f5
CCSRagdoll->m_vecOrigin: 138
CCSRagdoll->m_vecRagdollOrigin: 2a1c
CCSRagdoll->m_hPlayer: 2a00
CCSRagdoll->m_nModelIndex: 258
CCSRagdoll->m_nForceBone: 268c
CCSRagdoll->m_vecForce: 2680
CCSRagdoll->m_vecRagdollVelocity: 2a10
CCSRagdoll->m_iDeathPose: 2a28
CCSRagdoll->m_iDeathFrame: 2a2c
CCSRagdoll->m_iTeamNum: f4
CCSRagdoll->m_bClientSideAnimation: 28a0
CCSRagdoll->m_flDeathYaw: 2a30
CCSRagdoll->m_flAbsYaw: 2a34
CCSRagdoll->m_bDiedAirborne: 2a38
CTEPlayerAnimEvent->m_hPlayer: 10
CTEPlayerAnimEvent->m_iEvent: 14
CTEPlayerAnimEvent->m_nData: 18
CHostage->m_isRescued: 2f40
CHostage->m_jumpedThisFrame: 2f41
CHostage->m_iHealth: 100
CHostage->m_iMaxHealth: 2f28
CHostage->m_lifeState: 25f
CHostage->m_fFlags: 104
CHostage->m_nHostageState: 2f44
CHostage->m_flRescueStartTime: 2f48
CHostage->m_flGrabSuccessTime: 2f4c
CHostage->m_flDropStartTime: 2f50
CHostage->m_vel: 2f34
CHostage->m_leader: 2f30
CBaseCSGrenadeProjectile->m_vInitialVelocity: 29e0
CBaseCSGrenadeProjectile->m_nBounces: 29ec
CBaseCSGrenadeProjectile->m_nExplodeEffectIndex: 29f0
CBaseCSGrenadeProjectile->m_nExplodeEffectTickBegin: 29f4
CBaseCSGrenadeProjectile->m_vecExplodeEffectOrigin: 29f8
CHandleTest->m_Handle: 9d8
CHandleTest->m_bSendHandle: 9dc
CTeamplayRoundBasedRulesProxy->m_iRoundState: 28
CTeamplayRoundBasedRulesProxy->m_bInWaitingForPlayers: 38
CTeamplayRoundBasedRulesProxy->m_iWinningTeam: 30
CTeamplayRoundBasedRulesProxy->m_bInOvertime: 2c
CTeamplayRoundBasedRulesProxy->m_bInSetup: 2d
CTeamplayRoundBasedRulesProxy->m_bSwitchedTeamsThisRound: 2e
CTeamplayRoundBasedRulesProxy->m_bAwaitingReadyRestart: 39
CTeamplayRoundBasedRulesProxy->m_flRestartRoundTime: 3c
CTeamplayRoundBasedRulesProxy->m_flMapResetTime: 40
CTeamplayRoundBasedRulesProxy->m_flNextRespawnWave: 44
CTeamplayRoundBasedRulesProxy->m_TeamRespawnWaveTimes: e8
CTeamplayRoundBasedRulesProxy->m_bTeamReady: c4
CTeamplayRoundBasedRulesProxy->m_bStopWatch: e4
CTeamplayRoundBasedRulesProxy->teamplayroundbased_gamerules_data: 0
CSpriteTrail->m_flLifeTime: 1074
CSpriteTrail->m_flStartWidth: 1078
CSpriteTrail->m_flEndWidth: 107c
CSpriteTrail->m_flStartWidthVariance: 1080
CSpriteTrail->m_flTextureRes: 1084
CSpriteTrail->m_flMinFadeLength: 1088
CSpriteTrail->m_vecSkyboxOrigin: 108c
CSpriteTrail->m_flSkyboxScale: 1098
CSprite->m_hAttachedToEntity: 9e8
CSprite->m_nAttachment: 9ec
CSprite->m_flScaleTime: a08
CSprite->m_flSpriteScale: a04
CSprite->m_flSpriteFramerate: 9f0
CSprite->m_flGlowProxySize: a10
CSprite->m_flHDRColorScale: a14
CSprite->m_flFrame: 9f4
CSprite->m_flBrightnessTime: a00
CSprite->m_nBrightness: 9fc
CSprite->m_bWorldSpaceScale: a0c
CRagdollPropAttached->m_boneIndexAttached: 2cc8
CRagdollPropAttached->m_ragdollAttachedObjectIndex: 2cc4
CRagdollPropAttached->m_attachmentPointBoneSpace: 2ca0
CRagdollPropAttached->m_attachmentPointRagdollSpace: 2cb8
CRagdollProp->m_ragAngles[0]: 2ab0
CRagdollProp->m_ragAngles: 0
CRagdollProp->m_ragPos[0]: 2990
CRagdollProp->m_ragPos: 0
CRagdollProp->m_hUnragdoll: 2c8c
CRagdollProp->m_flBlendWeight: 2c90
CRagdollProp->m_nOverlaySequence: 2c98
CPropCounter->m_flDisplayValue: 2990
CPoseController->m_hProps: 9d8
CPoseController->m_chPoseIndex: 9e8
CPoseController->m_bPoseValueParity: 9ec
CPoseController->m_fPoseValue: 9f0
CPoseController->m_fInterpolationTime: 9f4
CPoseController->m_bInterpolationWrap: 9f8
CPoseController->m_fCycleFrequency: 9fc
CPoseController->m_nFModType: a00
CPoseController->m_fFModTimeOffset: a04
CPoseController->m_fFModRate: a08
CPoseController->m_fFModAmplitude: a0c
CGrassBurn->m_flGrassBurnClearTime: 9d8
CFuncLadder->m_vecPlayerMountPositionTop: 9f8
CFuncLadder->m_vecPlayerMountPositionBottom: a04
CFuncLadder->m_vecLadderDir: 9d8
CFuncLadder->m_bFakeLadder: a11
CTEFoundryHelpers->m_iEntity: 10
CEnvDetailController->m_flFadeStartDist: 9d8
CEnvDetailController->m_flFadeEndDist: 9dc
CDangerZone->m_vecDangerZoneOriginStartedAt: 9d8
CDangerZone->m_flBombLaunchTime: 9e4
CDangerZone->m_flExtraRadius: 9e8
CDangerZone->m_flExtraRadiusStartTime: 9ec
CDangerZone->m_flExtraRadiusTotalLerpTime: 9f0
CDangerZone->m_nDropOrder: 9f4
CDangerZone->m_iWave: 9f8
CDangerZoneController->m_bDangerZoneControllerEnabled: 9d8
CDangerZoneController->m_bMissionControlledExplosions: 9d9
CDangerZoneController->m_flStartTime: 9f4
CDangerZoneController->m_flFinalExpansionTime: 9f8
CDangerZoneController->m_vecEndGameCircleStart: 9dc
CDangerZoneController->m_vecEndGameCircleEnd: 9e8
CDangerZoneController->m_DangerZones: 9fc
CDangerZoneController->m_flWaveEndTimes: aa4
CDangerZoneController->m_hTheFinalZone: ab8
CWorldVguiText->m_bEnabled: 9d8
CWorldVguiText->m_szDisplayText: 9d9
CWorldVguiText->m_szDisplayTextOption: bd9
CWorldVguiText->m_szFont: cd9
CWorldVguiText->m_iTextPanelWidth: d20
CWorldVguiText->m_clrText: d19
CWorld->m_flWaveHeight: 9d8
CWorld->m_WorldMins: 9dc
CWorld->m_WorldMaxs: 9e8
CWorld->m_bStartDark: 9f4
CWorld->m_flMaxOccludeeArea: 9f8
CWorld->m_flMinOccluderArea: 9fc
CWorld->m_flMaxPropScreenSpaceWidth: a04
CWorld->m_flMinPropScreenSpaceWidth: a00
CWorld->m_iszDetailSpriteMaterial: a10
CWorld->m_bColdWorld: a08
CWorld->m_iTimeOfDay: a0c
CWaterLODControl->m_flCheapWaterStartDistance: 9d8
CWaterLODControl->m_flCheapWaterEndDistance: 9dc
CMapVetoPickController->m_nDraftType: 9e8
CMapVetoPickController->m_nTeamWinningCoinToss: 9ec
CMapVetoPickController->m_nTeamWithFirstChoice: 9f0
CMapVetoPickController->m_nVoteMapIdsList: af0
CMapVetoPickController->m_nAccountIDs: b0c
CMapVetoPickController->m_nMapId0: c0c
CMapVetoPickController->m_nMapId1: d0c
CMapVetoPickController->m_nMapId2: e0c
CMapVetoPickController->m_nMapId3: f0c
CMapVetoPickController->m_nMapId4: 100c
CMapVetoPickController->m_nMapId5: 110c
CMapVetoPickController->m_nStartingSide0: 120c
CMapVetoPickController->m_nCurrentPhase: 130c
CMapVetoPickController->m_nPhaseStartTick: 1310
CMapVetoPickController->m_nPhaseDurationTicks: 1314
CVoteController->m_iActiveIssueIndex: 9e4
CVoteController->m_iOnlyTeamToVote: 9e8
CVoteController->m_nVoteOptionCount: 9ec
CVoteController->m_nPotentialVotes: a04
CVoteController->m_bIsYesNoVote: a0a
CVGuiScreen->m_flWidth: 9e0
CVGuiScreen->m_flHeight: 9e4
CVGuiScreen->m_fScreenFlags: a0c
CVGuiScreen->m_nPanelName: 9e8
CVGuiScreen->m_nAttachmentIndex: a04
CVGuiScreen->m_nOverlayMaterial: a08
CVGuiScreen->m_hPlayerOwner: a68
CPropJeep->m_bHeadlightIsOn: 2adc
CPropVehicleChoreoGeneric->m_hPlayer: 2a04
CPropVehicleChoreoGeneric->m_bEnterAnimOn: 2a0c
CPropVehicleChoreoGeneric->m_bExitAnimOn: 2a0d
CPropVehicleChoreoGeneric->m_bForceEyesToAttachment: 2a1c
CPropVehicleChoreoGeneric->m_vecEyeExitEndpoint: 2a10
CPropVehicleChoreoGeneric->m_vehicleView.bClampEyeAngles: 2aa0
CPropVehicleChoreoGeneric->m_vehicleView.flPitchCurveZero: 2aa4
CPropVehicleChoreoGeneric->m_vehicleView.flPitchCurveLinear: 2aa8
CPropVehicleChoreoGeneric->m_vehicleView.flRollCurveZero: 2aac
CPropVehicleChoreoGeneric->m_vehicleView.flRollCurveLinear: 2ab0
CPropVehicleChoreoGeneric->m_vehicleView.flFOV: 2ab4
CPropVehicleChoreoGeneric->m_vehicleView.flYawMin: 2ab8
CPropVehicleChoreoGeneric->m_vehicleView.flYawMax: 2abc
CPropVehicleChoreoGeneric->m_vehicleView.flPitchMin: 2ac0
CPropVehicleChoreoGeneric->m_vehicleView.flPitchMax: 2ac4
CTriggerSoundOperator->m_nSoundOperator: a10
CBaseTrigger->m_bClientSidePredicted: a08
CBaseTrigger->m_spawnflags: 2c8
CTest_ProxyToggle_Networkable->m_WithProxy: 9d8
CTest_ProxyToggle_Networkable->blah: 0
CTesla->m_SoundName: a00
CTesla->m_iszSpriteName: a40
CBaseTeamObjectiveResource->m_iTimerToShowInHUD: 9d8
CBaseTeamObjectiveResource->m_iStopWatchTimer: 9dc
CBaseTeamObjectiveResource->m_iNumControlPoints: 9e0
CBaseTeamObjectiveResource->m_bPlayingMiniRounds: 9e8
CBaseTeamObjectiveResource->m_bControlPointsReset: 9e9
CBaseTeamObjectiveResource->m_iUpdateCapHudParity: 9ec
CBaseTeamObjectiveResource->m_vCPPositions[0]: 9f4
CBaseTeamObjectiveResource->m_vCPPositions: 0
CBaseTeamObjectiveResource->m_bCPIsVisible: a54
CBaseTeamObjectiveResource->m_flLazyCapPerc: a5c
CBaseTeamObjectiveResource->m_iTeamIcons: a9c
CBaseTeamObjectiveResource->m_iTeamOverlays: b9c
CBaseTeamObjectiveResource->m_iTeamReqCappers: c9c
CBaseTeamObjectiveResource->m_flTeamCapTime: d9c
CBaseTeamObjectiveResource->m_iPreviousPoints: e9c
CBaseTeamObjectiveResource->m_bTeamCanCap: 119c
CBaseTeamObjectiveResource->m_iTeamBaseIcons: 11dc
CBaseTeamObjectiveResource->m_iBaseControlPoints: 125c
CBaseTeamObjectiveResource->m_bInMiniRound: 12dc
CBaseTeamObjectiveResource->m_iWarnOnCap: 12e4
CBaseTeamObjectiveResource->m_iszWarnSound[0]: 1304
CBaseTeamObjectiveResource->m_iszWarnSound: 0
CBaseTeamObjectiveResource->m_flPathDistance: 1afc
CBaseTeamObjectiveResource->m_iNumTeamMembers: 1b1c
CBaseTeamObjectiveResource->m_iCappingTeam: 1c1c
CBaseTeamObjectiveResource->m_iTeamInZone: 1c3c
CBaseTeamObjectiveResource->m_bBlocked: 1c5c
CBaseTeamObjectiveResource->m_iOwner: 1c64
CBaseTeamObjectiveResource->m_pszCapLayoutInHUD: 1cec
CTeam->m_iTeamNum: b68
CTeam->m_bSurrendered: b6c
CTeam->m_scoreTotal: b40
CTeam->m_scoreFirstHalf: b44
CTeam->m_scoreSecondHalf: b48
CTeam->m_scoreOvertime: b4c
CTeam->m_iClanID: b58
CTeam->m_szTeamname: 9ec
CTeam->m_szClanTeamname: a0c
CTeam->m_szTeamFlagImage: a2c
CTeam->m_szTeamLogoImage: a34
CTeam->m_szTeamMatchStat: a3c
CTeam->m_nGGLeaderEntIndex_CT: b50
CTeam->m_nGGLeaderEntIndex_T: b54
CTeam->m_numMapVictories: b70
CTeam->player_array_element: 0
CTeam->"player_array": 0
CSunlightShadowControl->m_shadowDirection: 9d8
CSunlightShadowControl->m_bEnabled: 9e4
CSunlightShadowControl->m_TextureName: 9e5
CSunlightShadowControl->m_LightColor: af0
CSunlightShadowControl->m_flColorTransitionTime: b04
CSunlightShadowControl->m_flSunDistance: b08
CSunlightShadowControl->m_flFOV: b0c
CSunlightShadowControl->m_flNearZ: b10
CSunlightShadowControl->m_flNorthOffset: b14
CSunlightShadowControl->m_bEnableShadows: b18
CSun->m_clrRender: 70
CSun->m_clrOverlay: b38
CSun->m_vDirection: b44
CSun->m_bOn: b50
CSun->m_nSize: b3c
CSun->m_nOverlaySize: b40
CSun->m_nMaterial: b54
CSun->m_nOverlayMaterial: b58
CSun->HDRColorScale: 0
CSun->glowDistanceScale: 0
CParticlePerformanceMonitor->m_bMeasurePerf: 9d9
CParticlePerformanceMonitor->m_bDisplayPerf: 9d8
CSpotlightEnd->m_flLightScale: 9d8
CSpotlightEnd->m_Radius: 9dc
CSpatialEntity->m_vecOrigin: 9d8
CSpatialEntity->m_minFalloff: 9e4
CSpatialEntity->m_maxFalloff: 9e8
CSpatialEntity->m_flCurWeight: 9ec
CSpatialEntity->m_bEnabled: af4
CSlideshowDisplay->m_bEnabled: 9d8
CSlideshowDisplay->m_szDisplayText: 9d9
CSlideshowDisplay->m_szSlideshowDirectory: a59
CSlideshowDisplay->m_chCurrentSlideLists: af0
CSlideshowDisplay->m_fMinSlideTime: b08
CSlideshowDisplay->m_fMaxSlideTime: b0c
CSlideshowDisplay->m_iCycleType: b14
CSlideshowDisplay->m_bNoListRepeats: b18
CShadowControl->m_shadowDirection: 9d8
CShadowControl->m_shadowColor: 9e4
CShadowControl->m_flShadowMaxDist: 9e8
CShadowControl->m_bDisableShadows: 9ec
CShadowControl->m_bEnableLocalLightShadows: 9ed
CSceneEntity->m_nSceneStringIndex: 9e8
CSceneEntity->m_bIsPlayingBack: 9dc
CSceneEntity->m_bPaused: 9dd
CSceneEntity->m_bMultiplayer: 9de
CSceneEntity->m_flForceClientTime: 9e4
CSceneEntity->m_hActorList: 0
CRopeKeyframe->m_nChangeCount: ccc
CRopeKeyframe->m_iRopeMaterialModelIndex: a14
CRopeKeyframe->m_hStartPoint: cac
CRopeKeyframe->m_hEndPoint: cb0
CRopeKeyframe->m_iStartAttachment: cb4
CRopeKeyframe->m_iEndAttachment: cb6
CRopeKeyframe->m_fLockedPoints: cc8
CRopeKeyframe->m_Slack: cc0
CRopeKeyframe->m_RopeLength: cbc
CRopeKeyframe->m_RopeFlags: a10
